Athlete_ID,gender,premium,followers_num,following_num,fav,g_ratio,overseas_p,mbr_1
31155102,M,0,4271,2362,ride,0.003322259,1,"37.990192,-1.11172"
7222368,M,1,1456,1965,ride,0.225806452,0,"-22.992882,-46.849623"
48570568,M,0,2005,1746,ride,0.272151899,25,"37.986164,-1.105562"
36191407,M,0,2107,2010,run,0.030769231,2,"19.146732,76.533761"
6937903,M,1,3643,2231,ride,0.063694268,0,"-10.214422,-48.332906"
27135451,M,0,27978,1986,ride,0.004807692,0,"-24.009549,-46.41367"
8066039,F,1,85,78,run,0.501779359,0,"54.606659,-3.147885"
10579852,M,1,1160,1136,ride,0.677884615,1,"52.050803,1.162824"
34535328,M,0,3064,2972,ride,0.111111111,3,"14.167672,121.018848"
17485066,M,0,1628,1632,ride,0.066666667,0,"-11.663626,166.97164"
18170803,M,1,679,752,ride,0.550802139,0,"-11.663626,166.972436"
29226017,M,1,2510,2505,ride,0.41010101,4,"49.655038,12.0168"
42695848,M,0,1869,2588,run,0.140350877,6,"37.992275,-1.104451"
65252512,M,0,1797,2279,ride,0.02189781,12,"41.35863,2.03545"
850495,M,1,9754,162,ride,0.448275862,9,"45.6763,13.333164"
18291483,M,1,2442,1818,run,0.119469027,0,"49.242581,-2.188833"
19834139,F,0,2618,2385,run,0.023255814,0,"38.953934,-9.381365"
19502642,M,0,2527,1433,ride,0.65738758,1,"-21.74492,166.14821"
33225579,M,0,1404,2066,ride,0.158536585,0,"20.10756,77.135224"
23942068,M,1,3405,2010,ride,0.434599156,0,"-20.546899,-48.602292"
58012585,F,0,2075,1628,ride,0.010638298,0,"9.595409,76.526091"
10504434,M,1,2808,2466,ride,0.723628692,0,"-7.589181,-46.1955"
42728766,M,0,2981,2271,ride,0.490909091,10,"-19.862929,-44.00599"
13173284,F,0,811,654,run,0.086387435,0,"52.64497,-0.38379"
7436940,M,1,3021,2230,ride,0.228571429,0,"-19.858269,-43.476318"
14001473,F,0,4559,1936,other,0.081395349,0,"23.015468,72.448514"
183769,M,1,7559,320,ride,0.816964286,5,"51.474359,-0.164143"
16897653,M,1,2759,2771,ride,0.069008783,2,"41.484171,-74.175103"
27758226,F,0,2996,2322,run,0.009708738,0,"60.645705,30.199749"
2810182,M,1,945,2061,run,0.020512821,0,"51.300424,1.043508"
49165714,M,0,2068,2084,run,0.315068493,0,"30.910079,75.844503"
10882693,M,1,1788,1693,ride,0.100352113,0,"46.570358,6.815311"
12939894,M,0,881,1308,run,0.095940959,0,"43.467332,-5.65572"
19643575,M,0,161,149,ride,0.608187135,0,"37.736917,-25.673634"
45729313,M,0,2158,2012,ride,0.011235955,1,"23.098104,72.575656"
18076360,M,0,2445,1743,ride,0.007380074,2,"-34.028734,18.466311"
21184773,M,1,9879,1982,ride,0.190977444,0,"-11.663628,166.97252"
30932242,M,1,2117,2126,ride,0.625,2,"-16.685372,-44.493775"
48713593,M,0,3533,2006,ride,0.45,1,"19.860653,75.289945"
15544121,-,1,1606,2084,other,0.091970803,0,"-11.663624,166.972594"
28423469,M,0,1809,2109,ride,0.083333333,0,"18.703812,73.789975"
12996067,M,0,2294,2275,ride,0.891891892,0,"-21.788613,-46.625763"
40253082,F,0,2911,2157,ride,0.636363636,0,"-7.801426,110.364823"
56856752,M,0,2466,2100,ride,0.346153846,3,"9.985011,76.250384"
45158299,M,0,814,854,ride,0.452471483,0,"30.22629,74.932995"
46827662,M,0,1763,1714,ride,0.168096055,0,"20.965868,77.720666"
38018324,M,0,2502,2217,ride,0.408934708,9,"17.996388,74.424141"
11775440,M,1,2522,2082,ride,0.265625,0,"-15.938461,-52.297195"
45206326,M,0,1127,1989,ride,0.248618785,0,"35.885447,128.740737"
50768504,M,0,2124,2071,ride,0.057971014,1,"12.142142,75.176748"
13438666,M,0,2369,2008,ride,0.131578947,1,"28.537731,77.204319"
17703134,M,1,887,967,other,0.00845666,0,"41.463199,-81.8445"
26871730,F,0,1956,2357,ride,0.002638522,2,"59.646168,34.190678"
468310,M,0,923,1281,ride,0.224489796,0,"52.481804,-1.815667"
5350855,M,1,1347,1873,ride,0.737288136,0,"53.974861,-1.592989"
38388657,M,0,1761,2142,ride,0.145,3,"4.604067,-74.06138"
36865838,M,1,2126,1843,ride,0.346391753,2,"18.672457,72.879261"
16880961,F,0,3466,2074,other,0.396963124,1,"47.256544,11.386428"
1010986,M,1,166,191,ride,0.532299742,4,"-11.654724,166.935567"
39487043,M,0,1961,2297,run,0.637271215,8,"23.059105,72.68815"
43529850,M,0,1444,2069,ride,0.219219219,0,"22.67235,75.668454"
32833770,M,0,2375,2029,run,0.317919075,12,"-6.923554,107.669519"
34722165,M,0,2445,1932,ride,0.310769231,1,"25.150714,55.283987"
17838364,M,1,3027,2128,run,0.036793693,11,"-6.631342,106.904215"
10815268,M,0,1108,1531,run,0.01814059,0,"53.924494,-1.907363"
15173662,M,1,1612,2033,other,0.03515625,6,"44.426755,10.668582"
16665535,M,0,1409,2333,other,0.03125,0,"49.911197,5.267979"
1123265,M,0,2150,2045,ride,0.162601626,0,"33.687908,-117.860978"
46482350,M,0,2992,2024,ride,0.098086124,0,"20.839957,78.781988"
7082608,M,1,1972,2179,other,0.14379085,1,"-21.7449,166.148255"
